Type	Recipient	Tokens
1	0xfd2A175CFAa14344a0e896179765f6d83F7c1977	411,061
2	0xfd2A175CFAa14344a0e896179765f6d83F7c1977	1,783,088
1	0xe192d77E0f83e54d2A9a301257682ded62C19f6c	1,155,585
1	0x2846aC90AA940998082E4A618139D247Ab2e71f2	2,053,504
2	0x2846aC90AA940998082E4A618139D247Ab2e71f2	1,018,305
1	0xF9Ce34dFCD3cc92804772F3022AF27bCd5E43Ff2	1,000,000
1	0x01D452b18dE861806b9A426b2Cd01Dfd4d8879dA	780,020
2	0x01D452b18dE861806b9A426b2Cd01Dfd4d8879dA	134,209
1	0x24F2C443642649869acBa5c1A9CEA27b04Ba004E	250,145
2	0x24F2C443642649869acBa5c1A9CEA27b04Ba004E	115,546
3	0x24F2C443642649869acBa5c1A9CEA27b04Ba004E	365,691
1	0x514322ff22736572a39B2Ea54e84Ffc5Ebf78f2C	167,450
2	0x514322ff22736572a39B2Ea54e84Ffc5Ebf78f2C	637,071
1	0x7465646377c5ee1a8C46fe4017026DC26513b56C	1,095,867
2	0x7465646377c5ee1a8C46fe4017026DC26513b56C	1,975,941
1	0xF0Ee64172B8dd8217d55447025C4bEB39B6F34A7	639,521
1	0xd895b451349a5138B962fa5CF76610CCfe1F0030	276,341
2	0xd895b451349a5138B962fa5CF76610CCfe1F0030	455,042
3	0xd895b451349a5138B962fa5CF76610CCfe1F0030	731,383
1	0x658e1B019F2F30C8089a9Ae3Ae5820F335bd9Ce4	1,187,254
1	0xE0537ea8F1d5A304635ce05D6F6b0D71fCfAB3a1	403,358
2	0xE0537ea8F1d5A304635ce05D6F6b0D71fCfAB3a1	1,205,685
1	0x5E00c69e0e5BF737214172662a22bC0D3D907fae	144,680
2	0x5E00c69e0e5BF737214172662a22bC0D3D907fae	586,703
1	0x97A8131e4d571431E937d8712Ab67Ac83EE02c2D	5,265,957
1	0x7380C1eD753AD1626Bf8F3d7d445F5525A2F773b	1,155,658
1	0x16e5AD2F9697Caf4B0F0deB25FF1121a01cBD2c7	662,267
2	0x16e5AD2F9697Caf4B0F0deB25FF1121a01cBD2c7	5,920,179
1	0xC06Fa6893c2D9819328972F1c912c159C8C92290	509,920
1	0x2eB9AFf015d96E41c5CCCec43A63Ae414aC9fe3b	365,618
1	0x688390820B57cd65c1f76B5509Ba28F79A343343	730,652
1	0xec06C4577aA7C4E3AbEAfC6a7cb0e2Da7b61ED49	31,023,094
1	0x91323bB42e717c6096144bA7E23fFC66d7661f5d	27,034,948
1	0x8Ddb7393F5b9C78D7dE403e4DC1D9d93691d02ED	23,125,469
1	0x07A14B1Ac8b84aAB9438AFe4CF5965D116d62941	1,828,457
1	0xA6c49067919D92d5DB655AF190111D480Ee1B9A4	81,183,511
1	0x479Db1febF060a5bfDDE5d84e0fb00aacCc24004	182,846
1	0xCA2A58F421c027e98d41BCB8C4Ae019f610dd000	365,691
1	0x347dc91A32bc00e6FB38e2B4380E6A1c0Fbca254	73,138
1	0xF191De80836Fc3878462DfcC06C90769823C7602	73,138
1	0x3E7c4E57A1dc4dD4bBE81bEFBe3E437f69619DaB	731,383
1	0xa547A35176fB8f8744F69C999c808C97a4eFde22	365,691
1	0x0810b584EbA735AdeA46EBEcDfbe36346DAab0B5	2,559,840
1	0x6536C85a50e18860fF1D2FFEbF5537EC18aadFa3	780,166
1	0xCF7D9886C8D391e730897FaF878a30214DB23A15	27,029,009
1	0x452c996798B65EeAA61B493a0B25bceDdcB17Ec1	15,989,381
1	0xdB2Ed12cEc14128BCBED76Ae1eDc2E6bBC529A8F	14,029,482
1	0x35b56618aad07af51a3fb4b80cafec6b1175b886	73,138
1	0xc94cb528766F3A5913eB73371A655c7000C07d65	1,462,766
1	0xF5Fb27b912D987B5b6e02A1B1BE0C1F0740E2c6f	182,846
1	0xB7D5b256CF269be543dce1B9272905cCE756f2f3	219,415
1	0x9f912f6E0C5CDceDa6060e02b8B59a16619FC737	780,166
1	0x6f7C780FCc169fF1Fab3a99c8c056CAd3e5E69aA	1,994,681
1	0x53C61cfb8128ad59244E8c1D26109252ACe23d14	166,223
1	0x707B8F3075521Ee750C25Ac3bA9a0B9B85E370C4	182,846
1	0xd901a220cc48a9d92f69006ab762d7be587d617c	2,061,170
1	0xbbFdDeC7EE3501Ac36c7450ffC6b683de9c7E6a6	182,846
1	0x84A1C94DE422cd1a8dC6D8cb819f57403fB93D58	31,382,979
1	0x4B08b69026AA6549529Dc782a9B034917A4789d2	1,230,053
1	0x72b824a543948DdEFedf3Cf8D6c8659848BA429A	114,242
1	0x3a3eE61F7c6e1994a2001762250A5E17B2061b6d	332,447
1	0x20503760363657E55dC817a5Bc92d297cDeFaa12	182,846
1	0x9d07E3406D3E7eC5E19B6804f6f821F684C9339c	1,441,044
1	0x093aAde94338574CE4923F2AABC8aA0a8e323AD7	14,165,718
1	0x2720D2C0dc3505E44ce8b76D27b7d06b6cb09493	1,662,234
1	0x768Cd626DE337f559d2B40c1E9826917a0b0ba57	332,447
